Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
aah,34,0,0,0,0,8,0,0,0,1.85,9.1,3,8.58,132,816.43,0.21,186.03,0.62,646.4,-0.35,130.45,0.93
aback,36,0,0,0,0,2,3,3,1,1.95,7.74,1.85,8.26,2144.75,796.27,0.11,171.61,0.45,596.54,-0.55,89.45,0.96
abacus,0,0,0,0,0,0,0,0,0,2.9,7.39,2.9,6.66,2172.6,964.4,0.65,489,0.47,792.69,0.31,200.19,0.62
abandon,2,0,0,0,1,0,0,0,0,2.9,7.45,2.45,6.97,3957,695.72,-0.31,220.41,0.97,623.96,-0.52,98.25,1
abandoned,0,0,0,0,0,0,1,1,0,3.55,6.33,2.6,6.72,4623.88,860.77,-0.09,447.56,0.91,635.16,-0.49,101.65,1
abandoning,0,0,0,0,0,0,0,0,0,3.7,6.96,3.3,6.59,5584.33,740.55,-0.11,288.44,1,782.78,0.06,218.57,0.92
abandonment,0,0,0,0,0,0,0,0,0,4.4,5.76,4.45,6.6,3980.8,771.09,0,229.53,1,794.7,0.21,256.3,0.96
abash,24,0,0,0,0,2,1,1,0,1.8,7.34,1.9,8.18,2359.25,748.71,0.23,194.37,0.68,594.43,-0.72,99.57,0.97
abate,77,0,0,0,0,2,6,6,1,1.85,7.47,1.7,7.79,5121,719.54,-0.09,180.88,0.71,668.39,-0.31,201.54,1
abated,38,0,0,0,0,2,3,3,0,1.95,6.79,1.85,6.97,5713.6,894.23,0.45,289.82,0.69,693.28,-0.16,172.49,0.96
abbey,6,0,0,0,0,1,7,7,0,2.15,7.17,1.55,8.2,1236.25,726.19,-0.1,235.91,0.66,682.57,-0.16,152.26,0.92
abbot,5,0,0,0,0,0,3,7,0,2.35,7.68,1.85,8.34,1494,808.58,0.21,268.65,0.71,750.13,0.04,167.89,0.82
abbreviate,2,0,0,0,0,0,0,0,0,4.05,6,3.7,6.39,3716.44,795.03,0.16,316.55,0.94,708.44,-0.09,156.29,0.96
abbreviated,2,0,0,0,0,1,0,0,0,4.2,6.25,4.15,6.46,4153.2,698.45,-0.25,170.37,0.94,695.63,-0.26,201.23,1
abbreviation,657,0,0,0,0,0,0,0,0,4,6.28,3.8,6.76,4240.91,728.91,-0.02,163.59,1,714.93,-0.04,149.43,1
abbreviations,264,0,0,0,0,0,0,0,0,4.35,6.52,4.1,6.73,4231.67,729.13,-0.12,218.3,0.91,689.48,-0.11,150.88,1
abdicate,0,0,0,0,0,0,0,0,0,2.8,6.43,2.85,5.82,4400.14,1056,0.84,475.66,0.56,819.91,0.41,239.44,0.85
abdomen,8,0,0,0,1,0,0,0,0,3,6.39,3,6.09,2679.83,813.43,0.03,315.23,0.88,758.67,-0.02,317.23,0.96
abdominal,2,0,0,0,1,0,0,0,0,3.75,6.11,4,6.66,3951.25,715.55,-0.13,191.24,0.94,737.76,0.05,173.61,0.88
abduct,18,0,0,0,0,0,0,0,0,2.5,7.66,2.55,7.19,1090.6,769.67,0.03,251.22,0.88,707.81,-0.21,285.9,1
abduction,14,0,0,0,0,0,0,0,0,2.7,7.88,2.65,7.54,3400.25,795.88,0.01,245.03,0.94,667.38,-0.32,138.12,0.93
abed,45,0,0,0,0,7,4,4,1,1.7,7.61,1.8,8.11,3989.67,887.5,0.5,319.02,0.29,634.5,-0.4,163.65,0.93
aberrant,5,0,0,0,0,0,0,0,0,3.25,6.59,2.75,6.62,5265,955.38,0.55,487.31,0.38,818.76,0.3,242.1,0.75
aberration,657,0,0,0,0,0,0,0,0,2.85,6.56,2.55,6.67,6020.22,946.55,0.51,332.94,0.63,882.48,0.69,268.79,1
aberrations,264,0,0,0,0,0,0,0,0,3.4,6.5,2.85,6.63,5831.2,1005.37,0.94,412.32,0.58,829.63,0.45,223.19,0.89
abet,70,0,0,0,0,4,4,4,2,1.75,8.78,1.8,8.5,2291,792,0.37,221.47,0.32,619.14,-0.34,130.37,0.81
abetted,10,0,0,0,0,0,2,2,0,2.35,6.44,1.9,6.56,4177.33,998.5,0.71,372.52,0.53,654.63,-0.32,150.42,0.86
abeyance,1,0,0,0,0,0,1,1,0,3.4,7.06,2.95,6.91,2463.29,914,0.22,179.38,0.13,889.75,0.68,285.69,0.6
abhor,68,0,0,0,0,0,0,0,0,2.3,7.67,2.3,7.67,2377.5,786.15,0.12,184.4,0.57,789,0.12,198.83,0.81
abhorred,40,0,0,0,0,0,1,1,0,2.9,6.49,2.15,8.06,3859.57,798.44,0.41,154.4,0.56,791.88,0.16,215.48,0.65
abhorrent,2,0,0,0,0,0,1,1,0,3.65,6.31,2.95,6.39,3935.38,794.15,0.25,203.55,0.41,781.32,0.31,195.15,0.7
abide,72,0,0,0,30,3,3,3,2,1.7,7.77,1.85,8.24,2445,773.21,-0.18,276.41,0.94,633.83,-0.3,145.25,1
abides,30,0,0,0,0,3,2,2,2,1.9,7.15,1.95,7.6,4503.2,750.63,-0.05,221.05,0.82,696.22,-0.29,187.42,1
abiding,18,0,0,0,0,0,3,3,0,2.15,7.33,1.95,8.03,5333,784.67,0.05,243.05,0.82,620.16,-0.36,99.42,0.96
abilities,1,0,0,0,0,0,0,0,0,2.95,6.45,2.75,6.39,5301,657.06,-0.49,257.54,0.97,711.81,-0.14,154.38,0.96
ability,3,0,1,1,2,1,1,1,1,2.3,6.38,2.3,6.42,2887.5,619.68,-0.48,186.54,0.97,583.04,-0.72,82.31,1
abject,0,0,0,0,0,1,0,0,0,2.35,7.95,2.75,7.45,1303,692.67,0.07,162.77,0.28,768.38,0.11,215.74,0.93
ablaze,87,0,0,0,0,0,0,0,0,2.25,7.21,1.95,6.72,1945.4,740.73,0.15,175.11,0.65,644.36,-0.22,172.52,0.93
able,15,1,5,6,7,3,3,6,0,1.5,7.61,1.55,7.81,3570.33,623.3,-0.5,214.58,1,628.21,-0.6,198.35,1
ably,0,0,0,0,0,2,1,1,0,1.9,8.01,1.9,8.24,2659,796.14,0.14,297.96,0.42,773.83,0.33,234.52,0.86
abnormal,4,0,0,0,3,0,0,0,0,3.1,6.88,3.35,7.23,2755,684.91,-0.19,234.31,1,673.38,-0.31,223.4,1
abnormalities,6,0,0,0,0,0,0,0,0,4.6,5.57,5.2,5.35,4609.92,898.37,0.26,266.69,0.91,724.48,0.21,194.74,1
abnormality,30,0,0,0,0,0,0,0,0,3.6,6.07,4.45,5.8,3023.6,781.44,0.03,273.6,1,671.48,-0.31,178.42,0.93
abnormally,3,0,0,0,0,0,0,0,0,3.5,6.55,3.55,7.14,3006,843.26,0.02,402.4,0.97,639.04,-0.29,132.36,0.96
aboard,40,0,0,11,13,1,5,5,0,2.3,7.4,1.6,8.08,2360.8,628.16,-0.52,220.02,0.94,654.87,-0.48,233.89,0.88
abode,42,0,0,0,0,3,2,2,1,1.8,7.58,1.85,7.63,2405,855.83,0.27,332.04,0.88,665.96,-0.3,175.01,0.89
abolish,2,0,0,0,1,0,0,0,0,2.8,6.04,2.8,6.43,3396.33,703.22,-0.26,229.56,0.97,654.76,-0.46,137.1,1
abolished,2,0,0,0,0,1,0,0,0,3.4,6.55,3.1,6.75,4002.38,664.63,-0.36,223.12,0.97,659.32,-0.34,173.89,1
abolition,91,0,0,0,0,0,0,0,0,2.85,7.49,2.95,6.78,4749.88,834.33,0.08,342.42,0.91,904.14,0.41,406.21,0.88
abolitionist,0,0,0,0,0,0,0,0,0,4.3,5.91,4.95,5.43,4931.36,982.89,0.64,310.02,0.9,917.08,0.76,285.82,0.86
abolitionists,0,0,0,0,0,0,0,0,0,4.75,5.67,5.2,5.34,4747.67,1010.97,0.78,280.61,0.97,859.38,0.55,306.06,0.89
abominable,0,0,0,0,0,1,0,0,0,3.45,5.99,4,5.9,4092.78,829.07,0.27,373.99,0.93,899.21,0.74,339.06,0.76
aboriginal,1,0,0,0,0,0,1,1,0,4,6.62,4.95,6.51,4583.22,916.73,0.63,264.9,0.67,923.68,0.72,366.79,0.96
aborigine,0,0,0,0,0,0,1,1,0,3.6,6.63,4.8,6.81,4714.38,933.6,0.73,319.68,0.31,951.93,1.12,222.38,0.68
aborigines,0,0,0,0,0,0,1,1,0,3.7,6.65,5.15,6.56,5605.67,977.36,0.73,238.69,0.69,875.94,0.69,239.16,0.81
abort,29,0,0,0,0,1,2,2,0,1.95,8.06,1.9,7.55,2684.25,672.48,-0.41,235.69,0.97,583.7,-0.63,128.57,1
abortion,7,0,1,2,3,0,1,1,0,2.55,7.05,2.55,6.96,4640.86,686.45,-0.32,245.73,0.97,660.69,-0.21,186.69,1
abortionist,1,0,0,0,0,0,0,0,0,4.1,5.53,4.1,5.35,4873.2,833.82,0.12,243.54,0.97,807.79,0.2,229.37,1
abortions,4,0,0,0,0,0,1,1,0,2.75,6.91,2.65,6.34,4577,774.63,-0.2,212.35,0.97,643.48,-0.34,173.68,0.96
abortive,1,0,0,0,0,0,1,1,0,2.85,6.84,2.75,7.43,3575.14,881.08,0.14,454.68,0.79,713.44,-0.07,199.18,0.96
abound,31,0,0,0,17,1,0,0,0,1.85,8.61,1.9,8.51,2734.4,768.9,-0.07,324.78,0.91,596.33,-0.65,126.77,1
abounded,11,0,0,0,0,0,2,2,0,2.2,6.75,2,7.2,3804.71,832.31,0.17,433.81,0.88,685.54,-0.28,197.59,0.92
abounding,15,0,0,0,0,0,2,2,0,2.4,6.93,2,7.41,5095.88,884.52,0.28,417.12,0.91,657,-0.34,108.03,0.96
abounds,14,0,0,0,0,0,0,0,0,2.2,7.71,2.3,8.09,2461.17,678.9,-0.28,212.35,0.89,614.67,-0.54,121.76,0.96
about,23,0,0,0,0,1,3,3,0,1.85,7.67,1.95,7.35,2280.75,628.19,-0.56,167.99,0.94,560.43,-0.77,114.89,0.97
above,7,0,0,0,0,1,1,1,0,1.95,7.67,1.95,7.97,2026.25,564.33,-0.85,162.03,0.94,561.39,-0.72,131.47,1
abracadabra,0,0,0,0,0,0,0,0,0,5.95,6.26,6.9,6.37,2825.6,889.25,0.74,285.97,0.65,950.95,1.11,237.99,0.92
abrasion,9,0,0,0,0,0,0,0,0,2.9,6.87,2.8,6.81,3984.71,807.35,0.08,242.71,0.79,751.56,-0.03,202.73,0.96
abrasive,3,0,0,0,0,0,0,0,0,2.9,5.71,2.7,6.59,2919,710.59,-0.25,187.55,0.94,635.54,-0.43,77.62,0.96
abreast,69,0,0,0,0,0,4,4,0,2.7,7.29,1.75,7.88,4192.17,846.48,0.41,331.99,0.94,711,-0.16,153.05,0.92
abridged,3,0,0,0,0,1,0,0,0,2.85,6.63,2.9,6.64,3097.86,927.29,0.24,441.94,0.91,758.54,0.05,222.61,1
abroad,21,0,0,2,4,0,1,1,0,2.55,7.41,1.95,7.53,2070.2,654.69,-0.51,184.99,0.97,621.7,-0.56,97.09,1
abrogate,0,0,0,0,0,1,0,0,0,2.85,5.91,2.65,5.3,3838.14,798.58,0.72,104.22,0.38,1052.43,0.91,349.07,0.78
abrogated,0,0,0,0,0,2,1,1,0,3.3,6.2,2.85,6.53,4368.88,818.53,0.32,197.03,0.47,805.88,0.71,271.25,0.74
abrupt,5,0,0,0,0,0,0,0,0,2.7,7.77,2.55,6.97,1185.2,690.97,-0.19,165.98,1,584.89,-0.51,97.79,1
abruptly,1,0,0,0,0,0,0,0,0,3.65,6.45,3.7,6.18,1529.86,701.21,-0.12,172.03,0.97,637.79,-0.36,146.49,1
abruptness,0,0,0,0,0,0,0,0,0,3.85,4.52,3.75,4.81,3084.89,817.68,0.33,234.22,0.82,768.5,-0.04,233.61,1
abscess,0,0,0,0,0,0,3,3,0,2.7,7.16,2.05,7.75,3923.67,1033.5,1.02,445.44,0.58,801.45,0.46,248.78,0.83
abscond,13,0,0,0,0,0,0,0,0,2.95,7.15,3,7.94,3409.33,774.11,0.54,119,0.26,803.2,0.38,220.62,0.71
absence,0,0,0,0,0,0,2,2,0,2.65,7.26,2.65,7.15,3134.83,687,-0.4,404.05,0.97,666.15,-0.33,271.8,1
absences,0,0,0,0,0,0,1,1,0,2.75,6.31,3.1,6.21,4506.43,812.12,-0.09,440.99,0.97,713,-0.06,212.27,0.96
absent,0,0,0,0,0,1,1,1,0,1.95,6.56,2.7,7.4,3791.8,665.32,-0.41,260.97,1,607.88,-0.5,137.15,1
absentee,113,0,0,0,0,1,0,0,0,2.95,6.57,3.65,7.01,4184.57,886.79,0.32,375.03,0.85,671.09,-0.4,184.81,0.85
absenteeism,2,0,0,0,0,0,0,0,0,5.1,5.88,5.8,5.11,3652.9,963.42,0.81,324.59,0.59,917.86,1.02,242,0.91
absolute,0,0,0,0,0,0,0,0,0,2.9,6.97,3.6,6.19,2620.14,707.03,-0.34,202.54,1,578.29,-0.63,123.92,1
absolutely,2,0,0,0,0,0,0,0,0,3.85,6.08,4.7,5.58,2878.44,667,-0.45,212.49,1,682.46,-0.3,156.07,1
absoluteness,0,0,0,0,0,0,0,0,0,4.55,5.01,5.1,5.91,4294.73,888.84,0.17,379.42,0.97,707.25,-0.01,168.95,1
absolutes,0,0,0,0,0,0,0,0,0,3.4,6.74,4,6.93,3884.63,826.7,0.02,321.53,0.94,666.5,-0.36,136.44,1
absolution,27,0,0,0,0,0,0,0,0,2.75,7.57,3.5,6.92,3504.78,842.88,0.29,251.67,0.8,695.85,-0.13,144.72,1
absolutism,0,0,0,0,0,0,0,0,0,4.05,6.16,5.3,5.74,2842.11,934.96,0.48,361.28,0.82,904.61,0.63,250.1,0.79
absolve,6,0,0,0,0,0,0,0,0,2.8,7.84,2.95,8.06,1730.17,730.12,-0.19,184.71,0.76,653.3,-0.37,160.68,1
absorb,1,0,0,0,0,0,0,0,0,2.55,7.42,2.5,7.08,1942.4,633.78,-0.54,201.42,0.97,640.72,-0.42,119.1,0.93
absorbed,0,0,0,0,0,2,2,2,1,2.55,6.01,2.55,6.97,2817.43,735.41,-0.24,311.38,0.97,661.16,-0.38,157.51,1
absorbency,0,0,0,0,0,0,0,0,0,4.15,5.96,4.3,6.05,2403.22,955.82,0.53,409.63,0.85,769.08,0.15,189.97,0.96
absorbent,0,0,0,0,0,0,0,0,0,3.1,5.54,3.4,6.09,3023.5,793.73,0.12,252.35,0.91,805.7,0.16,219.72,1
absorber,0,0,0,0,0,1,2,2,1,2.7,6.25,3.15,7,3541,794.7,0.16,240.48,0.86,675.56,-0.32,243.96,0.93
absorbing,0,0,0,0,0,0,0,0,0,3.1,6.63,3,6.75,4297.75,747.06,-0.08,264.97,0.97,644.52,-0.21,169.32,1
absorbs,1,0,0,0,0,1,2,2,0,2.7,6.11,2.65,6.42,1693.17,675,-0.47,186.33,1,671.04,-0.24,118.57,0.93
absorption,0,0,0,0,0,0,0,0,0,2.9,6.9,3.5,6.14,3556.89,825.69,0.25,273.87,0.88,712.15,-0.02,186.08,1
abstain,100,0,0,0,0,0,0,0,0,2.75,7.52,2.6,7.46,4979.17,729.5,-0.06,212.02,0.88,717.42,-0.18,271.25,0.96
abstaining,35,0,0,0,0,0,0,0,0,3.05,6.72,2.7,6.83,6265.78,861.88,0.26,236.4,0.97,791.88,0.08,213.49,0.96
abstention,4,0,0,0,0,0,0,0,0,3.35,7.09,2.75,7.52,5861.44,985.39,0.74,366.01,0.69,942.13,0.85,249.25,0.56
abstinence,0,0,0,0,0,0,1,1,0,3.7,5.9,3.55,5.83,5710.11,884.38,0.17,278.31,0.91,742.96,-0.04,148.32,0.96
abstinent,0,0,0,0,0,0,1,1,0,3.5,6.42,3.55,6.52,6442.63,968.9,0.73,325.55,0.7,867.26,0.34,320.74,0.92
abstract,41,0,0,8,14,0,0,0,0,2.65,6.58,2.65,6.37,3417.43,667.91,-0.4,215.28,0.97,622.59,-0.46,110.82,1
abstracted,0,0,0,0,0,0,1,1,0,2.8,6.22,2.65,6.28,4505.89,790.52,-0.02,233.85,1,679.07,-0.11,152.51,0.97
abstraction,20,0,0,0,11,0,1,1,0,2.65,6.07,2.6,6.66,4567.1,820.06,0.03,317.43,1,686.46,-0.19,171.16,1
abstractions,13,0,0,0,0,0,1,1,0,2.85,6.21,3.15,6.64,4527.36,864.34,0.09,263.64,0.94,773.64,0.02,268.54,0.96
abstracts,0,0,0,0,0,0,0,0,0,2.75,6.8,2.95,6.36,3331.13,766.5,-0.19,388.85,1,629.68,-0.43,121.29,1
abstruse,33,0,0,0,0,0,0,0,0,3.45,6.35,2.9,5.88,3095.14,1042.6,0.89,377.88,0.45,979.87,1.13,241.64,0.75
absurd,33,0,0,0,5,0,0,0,0,2.7,7.58,2.65,7.52,1615.4,736.57,-0.22,225.95,0.94,613.81,-0.43,128.34,0.96
absurdities,0,0,0,0,0,0,0,0,0,4.45,6.11,4.2,6.44,4209,928.44,0.54,398.28,0.78,750,0.17,140.17,0.88
absurdity,0,0,0,0,0,0,0,0,0,3.75,6.17,3.6,6.49,2125.88,860.47,0.22,320.24,0.94,704.31,0.01,203.53,0.9
absurdly,1,0,0,0,0,0,0,0,0,3.4,6.66,3.6,6.81,1812.29,808.72,0.08,303.65,0.88,695,-0.27,230.09,1
abundance,0,0,0,0,0,0,1,1,0,3.55,6.71,3.1,6.2,2892.25,698.73,-0.27,209.47,0.97,629.82,-0.51,178.02,1
abundant,1,0,0,0,0,0,1,1,0,3.35,6.45,2.75,6,3326.86,660.75,-0.34,187.74,0.97,618.93,-0.46,104.24,0.96
abuse,33,0,6,9,15,2,2,2,1,1.8,7.74,1.85,6.81,2534.5,608.69,-0.7,201.09,0.97,581.2,-0.69,133.21,1
abused,23,0,0,0,1,3,2,2,1,1.85,7.05,2.25,7.13,3644.4,620.94,-0.5,163.75,0.97,631.96,-0.64,316.05,1
abuses,9,0,0,0,0,4,2,2,1,1.85,7.35,2.55,7.52,4574.8,632.58,-0.46,155.19,0.97,561.2,-0.64,150.22,1
abusive,12,0,0,0,2,0,0,0,0,2.8,6.6,2.7,6.58,2382.33,799.24,-0.11,363.78,0.97,664.04,-0.37,189,1
abut,20,0,0,0,0,1,4,4,1,1.85,8.4,1.75,8.53,1644.33,1072.33,0.81,171.91,0.09,729.42,-0.16,190.38,0.68
abysmal,2,0,0,0,0,0,0,0,0,3.7,6.73,3.15,6.38,2165.83,714.58,-0.1,218.49,0.35,756.5,0.46,252.96,0.92
abyss,18,0,0,0,0,0,3,3,0,2.45,7.94,1.9,7.84,1618.5,651.44,-0.34,153.51,0.76,653.04,-0.3,246.81,1
acacia,1,0,0,0,0,1,0,0,0,2.75,6.94,2.8,6.74,2738.8,1013.5,0.32,457.5,0.06,834.25,0.71,320.53,0.33
academic,5,0,0,0,1,0,0,0,0,3.3,6.03,3.35,6.08,3233.86,716.91,-0.32,227.88,0.97,725,-0.08,210.92,1
academically,1,0,0,0,0,0,0,0,0,4.4,6.15,4.15,6.24,3651.45,868.61,0.36,233.76,0.97,743.89,0.07,187.96,1
academics,2,0,0,0,0,1,0,0,0,3.6,6.43,3.85,6.53,2862.88,682.52,-0.42,254.12,0.97,640.39,-0.41,109.44,1
academies,0,0,0,0,0,1,1,1,0,3.7,6.27,3.5,6.7,4389.75,794.96,-0.01,408.04,0.8,763.69,0.08,133.41,0.52
academy,0,0,0,0,0,0,1,1,0,3.15,6.93,2.8,6.7,2608.17,630.97,-0.47,190.44,1,735.83,-0.04,189.91,0.89
accede,56,0,0,0,0,0,1,1,0,2.35,7.1,1.95,7.23,3778,967.25,0.46,512.91,0.43,779,0.06,311.92,0.46
acceded,10,0,0,0,0,1,1,1,0,2.5,7.1,2.4,6.53,4495.67,880.11,0.21,312.75,0.56,830.9,0.59,188.36,0.8
accelerate,1,0,0,0,0,0,0,0,0,3.25,5.57,3.75,5.98,5797.78,710.85,-0.21,228.69,0.97,727.26,0.06,187.97,0.96
accelerated,1,0,0,0,0,1,0,0,0,3.35,5.87,3.65,6.17,6026.4,741.56,-0.13,255.87,0.94,720.78,0.02,210.99,0.96
accelerating,1,0,0,0,0,0,0,0,0,3.6,6.51,4.05,6.63,6931.18,832.61,0.17,344.93,0.94,765.8,0.19,214.25,0.96
acceleration,657,0,0,0,180,0,0,0,0,3.2,6.37,3.65,6.29,5943.82,712.16,-0.25,268.17,0.91,749.81,-0.03,205.19,1
accelerator,0,0,0,0,0,0,0,0,0,3.7,6.23,4.1,6.39,5164.5,838.23,-0.07,362.25,1,747.11,0.11,125.56,1
accelerators,0,0,0,0,0,0,0,0,0,4.1,6.31,4.5,6.4,5046.55,791.89,0.11,254.91,0.97,734.37,0.03,178.27,1
accelerometer,7,0,0,0,0,0,0,0,0,5.15,5.77,5.85,6.2,5338.5,1130.87,0.97,604.18,0.56,823.6,0.45,208.49,0.36
accelerometers,2,0,0,0,0,0,0,0,0,5.6,5.81,6.45,6.26,5225.31,1029.23,1.13,295.8,0.52,976.88,1.17,288.94,0.53
accent,42,0,0,13,25,2,0,0,0,1.85,8.14,2.2,9.02,3695.8,674.97,-0.49,283.59,1,691.79,-0.19,203.5,1
accented,0,0,0,0,0,1,1,1,0,2.45,6.75,2.5,6.8,5015.71,642.73,-0.42,150.5,0.91,769.53,0.02,154.24,0.79
accenting,0,0,0,0,0,1,1,1,0,2.75,6.52,2.7,7.3,6386.13,819.32,-0.06,300.07,0.94,746.58,0.16,141.13,0.79
accents,0,0,0,0,0,2,1,1,0,2.35,7.55,2.65,8.21,3534.33,641.22,-0.58,163.73,0.94,655.59,-0.38,195.15,1
accentuate,0,0,0,0,0,0,0,0,0,3.45,6.22,4.3,5.34,4170.89,765.43,0.23,264.27,0.91,901.52,0.72,289.13,0.93
accentuated,0,0,0,0,0,1,0,0,0,3.8,6.18,5.15,5.97,4562.2,938.72,0.43,343.29,0.88,947.48,1.03,365.43,0.93
accentuates,0,0,0,0,0,1,0,0,0,3.9,6.47,4.7,5.67,5027.4,995.73,0.64,461.95,0.73,839.38,0.77,245.46,0.92
accept,14,0,1,1,3,1,1,1,0,2.35,7.5,2.3,8.04,1557.8,556.39,-0.86,269.94,0.97,628.08,-0.42,142.88,1
acceptable,3,0,0,0,2,1,0,0,0,3.6,6.19,3.4,6.96,2458.78,661.06,-0.43,183.3,0.97,732.14,-0.09,178.31,1
acceptance,0,0,0,0,0,0,0,0,0,3.8,7.23,3.6,7.3,2656.67,660.75,-0.33,236.56,0.97,720.31,0.06,121.97,1
accepted,1,0,0,0,0,1,1,1,0,2.7,7.01,2.8,7.78,3488.57,597.79,-0.64,133.54,0.94,630,-0.28,102.16,1
accepting,2,0,0,0,0,1,1,1,0,2.8,7.52,2.75,7.21,5049.88,630.55,-0.54,154.72,1,687.63,-0.18,209.41,0.96
accepts,1,0,0,0,0,1,1,1,0,2.65,7.6,2.65,8.26,1752.67,735.67,-0.37,316.72,0.94,682.07,-0.34,173.12,1
access,0,0,0,0,0,0,3,3,0,2,7.57,1.85,8.27,4493.2,677.79,-0.47,271.44,0.97,627.54,-0.39,125.51,1
accessible,3,0,0,0,0,0,0,0,0,3.75,7.27,3.4,6.7,3908.56,709.22,-0.38,321.75,1,689.75,-0.21,125.81,1
accessories,0,0,0,0,0,0,0,0,0,4.2,6.61,3.65,6.33,5224,704.88,-0.31,255.98,1,771.15,0.03,198.39,1
accessory,0,0,0,0,0,1,0,0,0,3.25,7.24,3.4,6.63,3778,687.36,-0.33,194.15,0.97,796.19,0.36,268.54,1
accident,0,0,0,0,0,1,1,1,1,2.7,7.35,3.5,7.1,3441.14,621.78,-0.61,210.39,0.97,610.48,-0.45,113.73,1
accidental,30,0,0,0,16,1,1,1,1,3.35,6.8,4.2,7.05,3733.78,691,-0.21,214.29,0.97,645.27,-0.43,93.79,1
accidentally,10,0,0,0,4,0,0,0,0,4.3,6.19,4.55,6.39,3761.18,704.6,-0.2,234.04,1,652.37,-0.34,132.6,1
accidents,0,0,0,0,0,0,0,0,0,3.05,7.42,3.7,6.93,3351.88,632.74,-0.47,204.38,1,609.71,-0.49,114.09,0.92
acclaim,28,0,0,0,0,0,1,1,0,2.85,6.9,1.95,7.4,1988.67,828.19,-0.05,367.1,0.94,702.89,-0.23,206.36,1
acclaimed,21,0,0,0,2,0,1,1,0,3.15,6.37,2.2,6.91,2923.88,694.97,-0.21,171.48,0.97,679.42,-0.16,168.32,0.96
acclaims,18,0,0,0,0,0,1,1,0,3.2,6.85,2.35,7.55,1794.43,801.13,-0.18,349.42,0.91,719.72,-0.09,166.05,1
acclamation,657,0,0,0,0,1,0,8,0,3.4,6.51,2.6,7.26,4389.9,816,0.29,272.44,0.77,764.5,0.15,194.3,0.89
acclimate,0,0,0,0,0,0,0,0,0,3.4,5.59,2.9,6.3,4001.5,863.13,0.38,356.33,0.77,900.05,0.69,233.38,0.88
accolade,0,0,0,0,0,0,0,0,0,3.45,6.63,2.8,6.39,3108,960.35,0.69,441.56,0.55,811.74,0.34,206.07,0.68
accolades,0,0,0,0,0,0,0,0,0,3.6,6.44,3.15,6.32,4311.5,899.06,0.37,405.83,0.53,819.5,0.32,307.95,0.96
accommodate,0,0,0,0,0,0,0,0,0,4.1,6.81,3.45,6.33,3191.1,726.15,-0.15,196.9,1,683.33,-0.03,114.55,1
accommodated,0,0,0,0,0,1,0,0,0,4.3,6.41,3.75,6.87,3635.91,705.59,-0.14,224.03,1,729.88,0.18,212.87,0.96
accommodates,0,0,0,0,0,1,0,0,0,4.2,6.18,3.7,6.22,4058.82,756.63,-0.15,224.15,0.94,773.44,0.15,249.93,1
accommodating,0,0,0,0,0,0,0,0,0,4.35,7.02,3.8,5.82,4664.5,760.45,-0.03,212.84,0.97,814.92,0.18,289.76,1
accommodation,657,0,0,0,180,0,0,0,0,4.05,6.65,3.4,6.79,3759.42,864.83,0.07,330.98,0.97,721.79,0.08,150.7,1
accommodations,264,0,0,0,0,0,0,0,0,4.4,6.4,3.65,6.5,3787.92,770.88,0.02,245.32,1,687.65,-0.07,133.32,1
accompanied,1,0,0,0,0,1,1,1,1,3.4,7.09,3.4,6.86,3663.1,787.09,-0.01,254.65,0.97,748.75,0.05,124.69,0.96
accompanies,1,0,0,0,0,1,1,1,1,3.25,6.69,3.25,7.31,4128.3,803.45,0.01,355.4,0.91,738.52,-0.03,234.21,0.93
accompaniment,0,0,0,0,0,0,0,0,0,4.2,6.87,4.6,7.23,3505.5,728.36,0.09,284.87,0.92,824.79,0.51,249.22,0.68
accompaniments,0,0,0,0,0,0,0,0,0,4.45,6.83,4.95,6.46,3445.62,1015.39,0.84,343.96,0.88,841.2,0.59,273.89,0.42
accompanist,0,0,0,0,0,0,0,0,0,3.8,6.86,3.5,6.8,3746.2,817.18,0.38,271.21,0.93,781.5,0.31,216.96,0.81
accompany,1,0,0,0,0,0,0,0,0,3.7,7.71,3.05,6.92,2685.5,725.84,-0.22,279.75,0.91,664.96,-0.32,163.16,1
accompanying,0,0,0,0,0,0,0,0,0,4.25,7.19,3.95,7.06,4106.55,899.42,0.26,402.95,0.94,720.14,-0.08,157.46,0.85
accomplice,0,0,0,0,0,0,1,1,0,3.65,7.65,3.35,7.16,2894.44,784.33,-0.06,310.5,0.97,737.32,0.15,189.1,0.93
accomplices,0,0,0,0,0,0,1,1,0,3.85,7.35,3.9,6.98,3878.6,940.52,0.59,390.2,0.94,811.35,0.42,255.86,0.85
accomplish,0,0,0,0,0,0,1,1,0,3.75,6.82,3.4,6.9,3013.78,773.12,-0.23,321.47,0.97,616.81,-0.37,135.89,1
accomplished,0,0,0,0,0,1,0,0,0,4,7.1,3.4,7.22,3524.09,726.79,-0.25,272.59,1,793.11,0.01,271.84,1
