Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
tribute,3,0,0,2,2,1,1,1,1,2.65,7.23,2.6,7.1,3634,701.38,-0.29,235.23,0.94,697.04,-0.09,192.44,1
tributes,2,0,0,0,0,1,0,0,0,2.75,7.99,3.3,6.95,4934.29,719.52,-0.41,232.64,0.97,805.5,0.15,305.3,1
triceps,1,0,0,0,0,0,0,0,0,2.6,7.37,3.15,6.76,3101,763.81,-0.06,192.64,0.81,720,-0.05,166.04,1
trick,30,0,7,12,18,8,18,18,6,1.5,8.29,1,8,3983.5,619.06,-0.67,342.48,1,584.37,-0.59,87.06,1
tricked,18,0,0,0,0,4,11,11,4,1.8,6.92,1.4,7.03,4305.33,628.94,-0.43,232.4,1,648.65,-0.42,171.38,1
trickery,1,0,0,0,0,0,0,0,0,2.55,6.3,2.8,6.23,4559.43,681.79,-0.28,150.93,0.85,668.21,-0.29,119.55,1
trickle,8,0,0,0,2,2,8,8,2,1.9,6.09,1.85,6.93,3808.67,721,-0.3,235.89,0.97,617.6,-0.51,138.9,1
trickling,1,0,0,0,0,1,2,2,1,2.6,6.22,2.25,5.58,5668.63,743.22,-0.04,235.31,0.97,641.58,-0.24,134.57,1
tricks,29,0,0,0,0,6,13,13,6,1.65,8.03,1.5,7.79,3330.4,658.47,-0.46,275.06,1,600.81,-0.55,91.89,1
trickster,0,0,0,0,0,0,0,0,0,3.2,6.25,2.9,6.97,5731.13,760.13,0,294.19,0.88,702.22,-0.16,290.07,1
tricky,10,0,0,0,2,1,5,5,1,1.9,7.61,1.85,7.29,3222.8,615.12,-0.61,198.79,1,605.96,-0.54,66.59,0.96
tricycle,0,0,0,0,0,0,0,0,0,3.2,6.62,3,7.24,3155,752.38,-0.13,286.5,0.88,797.72,0.11,213.86,0.89
trident,1,0,0,0,0,0,0,0,0,2.6,7.43,2.9,7.06,4750.83,899.47,0.09,483.99,0.91,684.63,-0.07,116.1,0.96
tried,72,0,0,0,0,8,18,18,7,1.7,7.42,1.15,8.08,5425.5,678.36,-0.5,308.57,1,645.74,-0.4,133.89,0.96
